PLAZA ID,PLAZA NAME,PLAZA TYPE,PLAZA CITY,PLAZA STATE,CONCESSIONAIRE
1002,L and T Vadodra,National,Vadodara,Gujarat,L and T
2001,IRB Boriach,National,Navsari,Gujarat,IRB
2002,IRB Charoti,National,Palghar,Maharashtra,IRB
2003,IRB Bhagwada,National,Valsad,Gujarat,IRB
2004,IRB Choryasi,National,Surat,Gujarat,IRB
2005,Ahmedabad Toll Plaza,National,Ahmedabad,Gujarat,AVBOT(IRB)
2006,Ahmedabad (Ring Road) Toll Plaza,National,Ahmedabad,Gujarat,AVBOT(IRB)
2007,Nadiad Toll Plaza,National,Kheda,Gujarat,AVBOT(IRB)
2008,Anand Toll Plaza,National,Anand,Gujarat,AVBOT(IRB)
2009,Vadodara Toll Plaza,National,Vadodara,Gujarat,AVBOT(IRB)
2010,Ahmedabad Ring Road 2,National,Ahmedabad,Gujarat,IRB
2011,Kheda,National,Kheda,Gujarat,IRB
2012,Vasad,National,Anand,Gujarat,IRB
5001,Shedung Toll Plaza,State,Shedung,Maharashtra,MIPL(Mumbai-Pune Expressway)
5002,Khalapur Toll Plaza,State,Khalapur,Maharashtra,MIPL(Mumbai-Pune Expressway)
5004,Kusgaon Toll Plaza,State,Kusgaon,Maharashtra,MIPL(Mumbai-Pune Expressway)
5005,Talegaon Toll Plaza,State,Talegaon,Maharashtra,MIPL(Mumbai-Pune Expressway)
6001,Gegal,National,Ajmer,Rajasthan,Soma
6002,Pipalaz,National,Ajmer,Rajasthan,Soma
7001,Manesar Toll Plaza,National,Gurgaon,Haryana,Millinieum City Expressway(MCEPL)
7002,IGI Toll Plaza,National,Delhi,Delhi,Millinieum City Expressway(MCEPL)
8001,Jaipur Plaza,National,Jaipur,Rajasthan,GVK
8002,Kishangarh Plaza,National,Ajmer,Rajasthan,GVK
9001,Shahjahanpur Toll Plaza,National,Alwar,Rajasthan,Pink City Expressway
9002,Manoharpura Toll plaza,National,Jaipur,Rajasthan,Pink City Expressway
9003,Daulatpura Toll Plaza,National,Jaipur,Rajasthan,Pink City Expressway
10001,Kavalias Toll Plaza,National,Bhilwara,Rajasthan,NHAI
10002,Jojro Ka Kheda Toll Plaza,National,Chittaurgarh,Rajasthan,NHAI
10003,Rithola Toll Plaza,National,Chittaurgarh,Rajasthan,NHAI
10004,Narayanpura Toll Plaza,National,Udaipur,Rajasthan,NHAI
10005,Paduna Toll Plaza,National,Udaipur,Rajasthan,NHAI
10006,Khandi Obri Toll Plaza,National,Udaipur,Rajasthan,NHAI
10007,Vantada Toll Plaza,National,Aravalli,Gujarat,NHAI
10008,Kathpur Toll Plaza,National,Sabarkatha,Gujarat,NHAI
13001,SriPerumbadur,National,Kanchipuram,Tamil Nadu,NHAI
13002,Chennasamaduram,National,Vellore,Tamil Nadu,NHAI
14001,Ambala Chandigarh,National,Sahibzada Ajit Singh Nagar,Punjab,GMR
15001,Pantangi,National,Nalgonda,Telangana,GMR
15002,Koralaphad,National,Nalgonda,Telangana,GMR
15003,Chillakallu,National,Krishna,Andhra Pradesh,GMR
16001,Vanagiri,National,Koppal,Karnataka,GMR
16002,Shahapur,National,Koppal,Karnataka,GMR
16003,Hitnal,National,Koppal,Karnataka,GMR
17001,Karjeevanhally Toll Plaza,National,Tumkur,Karnataka,IRB TCBOT
17002,Guilalu Toll Plaza,National,Chitradurga,Karnataka,IRB TCBOT
18001,Vikkravandi Toll Plaza,National,Villupuram,Tamil Nadu,Ulundurpet Expressway(IDFC)
19001,SENGURICHI TOLL PLAZA,National,Villupuram,Tamil Nadu,Trichy Tollways Pvt Ltd
19002,THIRUMANDURAI TOLL PLAZA,National,Perambalur,Tamil Nadu,Trichy Tollways Pvt Ltd
20001,SURAPATTU TOLL PLAZA,National,Tiruvallur,Tamil Nadu,NHAI
20002,VANAGARAM TOLL PLAZA,National,Tiruvallur,Tamil Nadu,NHAI
21001,Amakthadu toll plaza,National,Kurnool,Andhra Pradesh,MEP Infra Projects
21002,Kasepalli toll plaza,National,Anantapuram,Andhra Pradesh,MEP Infra Projects
21003,Marur toll plaza,National,Anantapuram,Andhra Pradesh,MEP Infra Projects
22001,Kappalur,National,Madurai,Tamil Nadu,Raima Toll Road(MEP)
22002,Etturvattam,National,Virudhunagar,Tamil Nadu,Raima Toll Road(MEP)
22003,Salaipudur,National,Thoothukudi,Tamil Nadu,Raima Toll Road(MEP)
22004,Nanguneri,National,Tirunelveli,Tamil Nadu,Raima Toll Road(MEP)
23001,Nandgaon Toll Plaza,National,Amravati,Maharashtra,IRB
24001,MANSAR TOLL PLAZA,National,Nagpur,Maharashtra,Oriental
24002,KAMPTEE KANHAN BYPASS CHECK TOLL PLAZA,National,Nagpur,Maharashtra,Oriental
24003,NAGPUR BYPASS CHECK TOLL PLAZA,National,Nagpur,Maharashtra,Oriental
24004,BORKHEDI TOLL PLAZA,National,Wardha,Maharashtra,Oriental
25001,Karanja Toll Plaza,National,Wardha,Maharashtra,Oriental
26001,Korai Toll Plaza,National,Agra,Uttar Pradesh,Oriental
27001,Khalghat Toll Plaza,National,Dhar,Madhya Pradesh,Oriental
28001,Barajore toll plaza,National,Kanpur Dehat,Uttar Pradesh,Oriental
28002,Anantram Toll Plaza,National,Auraiya,Uttar Pradesh,Oriental
29001,Laxamannath Plaza,National,Bangalore Rural,Karnataka,ILFS
29002,Rampura Plaza,National,West Medinipur,West Bengal,ILFS
30001,LADPALWAN TOLL PLAZA,National,Pathankot,Punjab,IRB
30002,WARYAM NANGAL TOLL PLAZA,National,Amritsar,Punjab,IRB
31001,Barkheda Toll Plaza,National,Jaipur,Rajasthan,IRB
31002,Sonwa Toll Plaza,National,Tonk,Rajasthan,IRB
32001,Omalur Toll Plaza,National,Salem,Tamil Nadu,IRB
33001,Daffi Toll Plaza,National,Varanasi,Uttar Pradesh,Soma Isolux
33002,Mohania Toll Plaza,National,Kaimur,Bihar,SOMA
33003,Sasaram Toll Plaza,National,Rohtas,Bihar,SOMA
34001,Raikal Toll Plaza,National,Mahabubnagar,Telangana,Jadcherla Expressways Pvt. Ltd
35001,ELECTRONIC CITY Phase 1,National,Bangalore Urban,Karnataka,Gaziabad Aligarh Expressway Pvt Ltd
35002,ATTIBELLE,National,Bangalore Urban,Karnataka,BETL
36001,Samayapuram Toll Plaza,National,Tiruchirappalli,Tamil Nadu,Indu Navayuga
37001,Boothakudi,National,Pudukkottai,Tamil Nadu,Eagle Infra
37002,Chittampatti,National,Madurai,Tamil Nadu,Eagle Infra
38001,Pithai Toll Plaza,National,Kheda,Gujarat,Essel Infra
38002,Vavadi Toll Plaza,National,Panchmahal,Gujarat,Essel Infra
39001,L and T PANIPAT,National,Panipat,Haryana,L and T
40001,Khaniwade Toll Plaza,National,Palghar,Maharashtra,IRB
41001,JATL Dhilwan Toll Plaza,National,Kapurthala,Punjab,IVRCL
41002,JATL Nijjerpura Toll Plaza,National,Amritsar,Punjab,IVRCL
42001,Vijayamangalam Toll Plaza,National,Erode,Tamil Nadu,IVRCL
43001,Vaiguntham Toll Plaza,National,Salem,Tamil Nadu,IVRCL
44001,TASAWADE TOLL PLAZA,National,Satara,Maharashtra,MSRDCL
44002,Kini Toll Plaza,National,Kolhapur,Maharashtra,MSRDCL
45001,Guduru Toll Plaza,National,Nalgonda,Telangana,Sadbhav
46001,Bijapur Toll Plaza,National,Bijapur,Karnataka,Sadbhav
46002,Nagarhalla Toll Plaza,National,Bagalkot,Karnataka,Sadbhav
47001,Tatiawas Toll Plaza,National,Jaipur,Rajasthan,Reliance
48001,"Sullurpet Plaza (NH- 16), (old NH-5)",National,Nellore,Andhra Pradesh,SWARNA TOLLWAY PRIVATE LIMITED
48002,"Budhanam Plaza (NH- 16),(old NH-5)",National,Nellore,Andhra Pradesh,SWARNA TOLLWAY PRIVATE LIMITED
48003,"Nellore Plaza (NH- 16), (old NH-5)",National,Nellore,Andhra Pradesh,SWARNA TOLLWAY PRIVATE LIMITED
48004,"Keesara Plaza (NH-65), (old NH-9)",National,Vijaywada,Andhra Pradesh,SWARNA TOLLWAY PRIVATE LIMITED
49001,Kaza Toll Plaza Mangalgiri,National,Guntur,Andhra Pradesh,IJM
50001,Niyamatpur Ekrotiya Toll Plaza,National,Moradabad,Uttar Pradesh,Moradabad Bareilly Expressway Limited
50002,Thiriya Khetal Toll Plaza,National,Bareilly,Uttar Pradesh,Moradabad Bareilly Expressway Limited
51001,Sawaleshwar Toll Plaza,National,Solapur,Maharashtra,ILFS and ITNL
51002,Varwade Toll Plaza,National,Solapur,Maharashtra,ILFS and ITNL
52001,Pithadiya Toll Plaza,National,Rajkot,Gujarat,ILFS
52002,Bharudi Toll Plaza,National,Rajkot,Gujarat,ILFS
